po_number,disputedAt,disputedReason,original_oeJobId,original_invoice_number,customerName,siteName,resolution_type,overrideNotes,discrepancy_status,discrepancy_type,item,expected_rate,billed_rate,difference_per_unit,gallons,discrepancy_value,overriddenAt,overriddenBy,archivedAt,replacedByJobId
PO49053,2025-12-12T18:27:40.053Z,Needing Taxes broken out from pricing.,OE00039037,CFS-4442851,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4274,3.97801,0.55061,103.7,57.098257000000004,,,,
PO49053,2025-12-12T18:27:40.053Z,Needing Taxes broken out from pricing.,OE00039037,CFS-4442851,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4274,3.97776,0.55036,49,26.96764,,,,
PO49053,2025-12-12T18:27:40.053Z,Needing Taxes broken out from pricing.,OE00039037,CFS-4442851,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4274,3.97801,0.55061,71.4,39.313554,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09386,0.56276,22.8,12.830928000000002,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09422,0.56312,65.7,36.996984,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.02881,0.49771,78.1,38.871151,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.02869,0.49759,81.2,40.404308,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09391,0.56281,159.2,89.599352,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09434,0.56324,37.1,20.896204,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09387,0.56277,76.7,43.164459,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.0939,0.5628,63.9,35.96292,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.09352,0.56242,58.6,32.957812000000004,,,,
PO49052,2025-12-12T18:25:10.887Z,,OE00038871,CFS-4441320,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5311,4.02868,0.49758,82.3,40.950834,,,,
PO49051,2025-12-12T18:20:52.841Z,Need taxes broken out from product pricing and labor fee removed,OE00038769,CFS-4441247,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,unexpected_line_item,010013991049 - FF RTS 680485-091 11/20/25 1:22a 010013991049 WFS FF SEATTLE WA 17: Labor,0,40,40,1,40,,,,
PO49051,2025-12-12T18:20:52.841Z,Need taxes broken out from product pricing and labor fee removed,OE00038769,CFS-4441247,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,detected,missing_line_item,Red Dye Diesel #2 - ULS,3.6115,0,-3.6115,1,-3.6115,,,,
PO49051,2025-12-12T18:20:52.841Z,Need taxes broken out from product pricing and labor fee removed,OE00038769,CFS-4441247,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.6115,4.1837,0.5722,77.9,44.574380000000005,,,,
PO49051,2025-12-12T18:20:52.841Z,Need taxes broken out from product pricing and labor fee removed,OE00038769,CFS-4441247,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.6115,4.18359,0.57209,52.4,29.977515999999998,,,,
PO49051,2025-12-12T18:20:52.841Z,Need taxes broken out from product pricing and labor fee removed,OE00038769,CFS-4441247,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.6115,4.18355,0.57205,54.7,31.291134999999997,,,,
PO49033,2025-12-12T18:08:15.766Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.2625
4Refuel Margin: $.275
Total Price Per Contract: $2.5375
Vendor Billed: $2.63

Difference: $.0925",OE00039632,1073363,"Quality Technology Services, LLC (QTS)",FTW1-DC2,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,0.275,2.63,2.355,390,918.45,,,,
PO48987,2025-12-12T14:41:48.099Z,"Product price is incorrect.  Please credit and rebill. ",OE00039687,27282318,Carrix,LSI - Columbus - 1864 Port Access Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.597,2.5831,-0.0139,1275,-17.7225,,,,
PO48992,2025-12-12T14:41:04.416Z,"Product price is incorrect.  Please credit and rebill. ",OE00039712,27282230,Carrix,LSI - Columbus - 1864 Port Access Rd,dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,2.595,2.5819,-0.0131,434,-5.6854000000000005,,,,
PO49044,2025-12-12T12:51:39.943Z,Billed Price was $2.581 vs. Expected Price of $2.511. Please correct and issue Credit and Rebill.,OE00039677,IN-1681867,Carrix,SSA Atlantic - Morehead City - 113 Arendell St Ste 208,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.511,2.581,0.07,1658.4,116.08800000000002,,,,
PO49021,2025-12-11T18:15:09.881Z,Expected pricing is 2.3084 vs 2.2948. Please credit and rebill to correct.,OE00039483,RO278159,Carrix,"3310/3416 Carondelet Avenue - Dupo, IL",dispute_active,,disputed,price_discrepancy,Red Dye Diesel (Winter) - ULS,2.3084,2.2948,-0.0136,251.3,-3.41768,,,,
PO48903,2025-12-08T21:40:27.065Z,"Expected Pricing was $2.9628 vs $2.9574 Billed ",OE00039297,SP13179765,Carrix,PRS - Syracuse - 600 Fremont Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel (Winter) - ULS,2.9628,2.9574,-0.0054,648,-3.4992,,,,
PO48899,2025-12-08T21:16:58.374Z,Expected Price was $3.10 vs. $3.1555 that was billed. Please issue Credit and Rebill to correct.,OE00039291,SP13177634,Carrix,PRS - Buffalo - 500 Bison Pkwy,dispute_active,,disputed,price_discrepancy,Red Dye Diesel (Winter) - ULS,3.1,3.1555,0.0555,72.6,4.0293,,,,
PO48888,2025-12-08T18:06:17.433Z,"Expected Rate was $2.037 vs. $2.0735, please issue Credit Rebill to correct.",OE00039065,RO276635,Carrix,"3310/3416 Carondelet Avenue - Dupo, IL",dispute_active,,disputed,price_discrepancy,87 Unleaded - Reform (w/10% Eth),2.037,2.0735,0.0365,51.3,1.8724499999999997,,,,
PO48823,2025-12-07T17:44:07.049Z,"Please correct pricing.  It appears that you are using 11/25 pricing for 11/26 delivery date. ",OE00039290,SP13177633,Carrix,PRS - Buffalo - 500 Bison Pkwy,dispute_active,,disputed,price_discrepancy,Red Dye Diesel (Winter) - ULS,3.1,3.1555,0.0555,219.8,12.1989,,,,
PO45789,2025-12-04T21:34:05.898Z,Please Credit Rebill. Expected rate was $2.9148 vs. Billed rate of $2.88211,OE00039143,182457DD,"Lazer Spot, Inc.","Molson - Site 102138 - Albany, GA",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.9148,2.88211,-0.03269,232,-7.584079999999999,,,,
PO48775,2025-12-03T22:34:23.219Z,"Billed Minimum Gallons Fee off of Diesel Rate (7,500 Gallons) vs. Gas Rate (8,500). Please issue Credit Rebill. ",OE00038959,27216458,Carrix,SSAT - Long Beach - C60 - 1521 Pier C St,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,353.02,301.13,-51.89,1,-51.89,,,,
PO48763,2025-12-03T20:51:07.240Z,"Per Schedule, pricing should be without CAR. Please correct and Credit Rebill. ",OE00039221,27237943,Carrix,SSA Pacific - Sacramento - 2895 Industrial Blvd Ste 100,dispute_active,,disputed,price_discrepancy,Dyed ULS CARB Dsl with 99% Renewable Dsl (Non-Bio),2.8918,3.0591,0.1673,2701,451.8773,,,,
PO48750,2025-12-03T16:31:59.663Z,Minimum Billable was billed off Diesel Rate (7500 Gallons) vs. Gas Rate (8500 Gallons).,OE00038958,27216496,Carrix,SSAT - Long Beach - Pier A - 700 Pier A Plaza,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,353.02,301.13,-51.89,1,-51.89,,,,
PO47906,2025-12-01T21:45:18.214Z,"Total differential of .38 should be in freight line item. Surcharge was not listed in RFP.  ",OE00037834,27142404,Carrix,LSI - Columbus - 1864 Port Access Rd,dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,2.4341,2.5211,0.087,399,34.713,,,,
PO48098,2025-11-25T15:23:35.776Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.376
4 Refuel Margin: $.75
Total Price Per Contract: $3.126
Vendor Billed: $3.2253

Difference: $.0993",OE00038875,1072526,US Foods Chef' Store,"CHEF'STORE Farmers Branch, TX",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),3.126,3.2253,0.0993,12.1,1.20153,,,,
PO48472,2025-11-25T15:20:21.933Z,Minimum Billable Gallons based on Diesel Rate (7500 Gallons) vs. Gas Rate (8500 Gallons). Please issue Credit Rebill.,OE00038783,27206622,Carrix,SSAT - Long Beach - Pier A - 700 Pier A Plaza,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,259.66,207.76,-51.9,1,-51.9,,,,
PO48471,2025-11-25T15:11:08.836Z,Minimum Billable was billed off Diesel (7500 Gallons) vs. Gas (8500 Gallons). Please issue Credit Rebill to correct,OE00038785,27206609,Carrix,SSAT - Long Beach - C60 - 1521 Pier C St,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,259.66,207.76,-51.9,1,-51.9,,,,
PO48468,2025-11-25T13:33:12.336Z,Delivery Fee should have been $50 vs. $200 and there is a pricing discrepancy. Missing Delivery Ticket. Please issue Credit Rebill,OE00038557,27200915,Carrix,PRS - Morrisville - 98 Cabot Blvd E,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.6115,2.6309,0.0194,1658,32.1652,,,2025-11-25T20:17:02.365Z,OE00038956
PO48468,2025-11-25T13:33:12.336Z,Delivery Fee should have been $50 vs. $200 and there is a pricing discrepancy. Missing Delivery Ticket. Please issue Credit Rebill,OE00038557,27200915,Carrix,PRS - Morrisville - 98 Cabot Blvd E,dispute_active,,disputed,price_discrepancy,Delivery Fee,50,200,150,1,150,,,2025-11-25T20:17:02.365Z,OE00038956
PO48097,2025-11-25T12:57:11.926Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.376
4 Refuel Margin: $.75
Total Price Per Contract: $3.126
Vendor Billed: $3.2253

Difference: $.0993",OE00038872,1072516,US Foods Chef' Store,"CHEF'STORE Farmers Branch, TX",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),3.2181,3.2253,0.0072,9.7,0.06984,,,,
